,title,condition,price,location,price($),country_code,store_name,store_type,simple_condition,brand,has_brand,title_length,log_price,log_title_length
10975,D'Arienzo Jacket Genuine Leather Used Man Size L Red LLV57,Pre-Owned,$38.85,Italy,38.85,IT,eBay,International,Used,Other,False,58,3.685122405236224,4.07753744390572
10976,Jacket Coat JEAN GABRIEL Man Genuine Leather Colour Black Size L cod.CC07,Pre-Owned,$69.07,Italy,69.07,IT,eBay,International,Used,Other,False,73,4.249494742382442,4.30406509320417
10977,Vittorio Forti Men's Genuine Leather Jacket Used Size 54 Beige XYR532L,Pre-Owned,$44.90,Italy,44.9,IT,eBay,International,Used,Other,False,70,3.8264651170664994,4.2626798770413155
10978,POIS Leather Jacket Used Man Black Size 44 PGS1217PI,Pre-Owned,$38.85,Italy,38.85,IT,eBay,International,Used,Other,False,52,3.685122405236224,3.970291913552122
10979,Mens FRINGE Hide Leather Brando TASSELED Motorcycle Jacket Retro Biker,Brand New,$201.24,United Kingdom,201.24,GB,eBay,International,New,Other,False,70,5.309455110958493,4.2626798770413155
10980,Fg Leather Jacket Used Woman Brown Size 48 Pgc514Pi,Pre-Owned,$35.97,Italy,35.97,IT,eBay,International,Used,Other,False,51,3.6101067729485403,3.9512437185814275
10981,Jacket Skin Used Man Brown Size 44 PGC095PI,Pre-Owned,$34.36,Italy,34.36,IT,eBay,International,Used,Other,False,43,3.5655812377694427,3.784189633918261
10982,Generic Jacket Genuine Leather Used Woman Size 42 Brown LLV131,Pre-Owned,$38.85,Italy,38.85,IT,eBay,International,Used,Other,False,62,3.685122405236224,4.143134726391533
10983,Salon Eua Zillina Jacket Genuine Leather Used Woman Size 48 Brown LLD111,Pre-Owned,$42.61,Italy,42.61,IT,eBay,International,Used,Other,False,72,3.775286481854675,4.290459441148391
10984,Jacket Woman Brown IN Vera Leather Size 44 Mon 1282 Lz,Pre-Owned,$26.16,Italy,26.16,IT,eBay,International,Used,Other,False,54,3.3017453026904953,4.007333185232471
